date,price,index_name,year,month,day,month_key,quarter_key,week_key,return_factor,investment_signal,cash_inflow,cash_balance,contribution,invested_wealth,wealth,total_contribution,wealth_return,all_time_high,all_time_high_flag,segment_reference_high,drawdown_from_reference_high,threshold_hit
1950-01-04,108.56,Nikkei 225,1950,1,4,195001,19501,195001,1.0,False,0.041666666666666664,0.041666666666666664,0.0,0.0,0.041666666666666664,0.0,0.0,108.56,True,108.56,0.0,False
1950-01-05,105.54,Nikkei 225,1950,1,5,195001,19501,195001,0.9721812822402358,False,0.041666666666666664,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,108.56,False,108.56,-0.02781871775976419,False
1950-01-06,102.64,Nikkei 225,1950,1,6,195001,19501,195001,0.9725222664392646,True,0.041666666666666664,0.125,0.125,0.125,0.125,0.125,0.0,108.56,False,108.56,-0.05453205600589539,True
1950-01-07,102.95,Nikkei 225,1950,1,7,195001,19501,195001,1.003020265003897,False,0.041666666666666664,0.041666666666666664,0.0,0.12537753312548713,0.1670441997921538,0.125,0.002265198752922748,108.56,False,108.56,-0.05167649226234339,False
1950-01-09,102.78,Nikkei 225,1950,1,9,195001,19501,195002,0.9983487129674599,False,0.041666666666666664,0.08333333333333333,0.0,0.12517049883086515,0.2085038321641985,0.125,0.0008183943881527878,108.56,False,108.56,-0.053242446573323554,False
1950-01-10,101.36,Nikkei 225,1950,1,10,195001,19501,195002,0.9861840825063242,False,0.041666666666666664,0.125,0.0,0.12344115354637566,0.24844115354637566,0.125,-0.006235385814497341,108.56,False,108.56,-0.06632277081798088,False
1950-01-11,99.36,Nikkei 225,1950,1,11,195001,19501,195002,0.9802683504340963,False,0.041666666666666664,0.16666666666666666,0.0,0.12100545596258767,0.28767212262925435,0.125,-0.013695579556842086,108.56,False,108.56,-0.0847457627118644,False
1950-01-12,97.48,Nikkei 225,1950,1,12,195001,19501,195002,0.9810789049919485,False,0.041666666666666664,0.20833333333333331,0.0,0.11871590023382696,0.32704923356716026,0.125,-0.01885229929851917,108.56,False,108.56,-0.10206337509211494,False
1950-01-13,95.04,Nikkei 225,1950,1,13,195001,19501,195002,0.9749692244562987,False,0.041666666666666664,0.25,0.0,0.1157443491816056,0.3657443491816056,0.125,-0.024681735515718395,108.56,False,108.56,-0.12453942520265282,False
1950-01-14,96.89,Nikkei 225,1950,1,14,195001,19501,195002,1.019465488215488,False,0.041666666666666664,0.29166666666666663,0.0,0.11799736944660949,0.4096640361132761,0.125,-0.0168063133281372,108.56,False,108.56,-0.10749815770081061,False
1950-01-16,96.2,Nikkei 225,1950,1,16,195001,19501,195003,0.9928785220352978,False,0.041666666666666664,0.3333333333333333,0.0,0.11715705378020264,0.45049038711353595,0.125,-0.017111882661376088,108.56,False,108.56,-0.11385408990420043,False
1950-01-17,95.27,Nikkei 225,1950,1,17,195001,19501,195003,0.9903326403326402,False,0.041666666666666664,0.375,0.0,0.1160244544037412,0.4910244544037412,0.125,-0.017951091192517588,108.56,False,108.56,-0.12242078113485633,False
1950-01-18,97.15,Nikkei 225,1950,1,18,195001,19501,195003,1.0197333893145797,False,0.041666666666666664,0.41666666666666663,0.0,0.11831401013250194,0.5349806767991686,0.125,-0.012343365909227133,108.56,False,108.56,-0.10510316875460568,False
1950-01-19,98.9,Nikkei 225,1950,1,19,195001,19501,195003,1.018013381369017,False,0.041666666666666664,0.4583333333333333,0.0,0.12044524551831645,0.5787785788516497,0.125,-0.007808150540028924,108.56,False,108.56,-0.08898305084745761,False
1950-01-20,98.05,Nikkei 225,1950,1,20,195001,19501,195003,0.9914054600606672,False,0.041666666666666664,0.5,0.0,0.11941007404520654,0.6194100740452065,0.125,-0.008943881527669562,108.56,False,108.56,-0.09681282240235822,False
1950-01-21,98.25,Nikkei 225,1950,1,21,195001,19501,195003,1.0020397756246813,False,0.041666666666666664,0.5416666666666666,0.0,0.11965364380358534,0.661320310470252,0.125,-0.008019534294621988,108.56,False,108.56,-0.09497052321296984,False
1950-01-23,97.1,Nikkei 225,1950,1,23,195001,19501,195004,0.988295165394402,False,0.041666666666666664,0.5833333333333333,0.0,0.11825311769290724,0.7015864510262405,0.125,-0.009525010315895699,108.56,False,108.56,-0.10556374355195286,False
1950-01-24,97.12,Nikkei 225,1950,1,24,195001,19501,195004,1.0002059732234811,False,0.041666666666666664,0.625,0.0,0.11827747466874512,0.7432774746687452,0.125,-0.008963367108339781,108.56,False,108.56,-0.10537951363301401,False
