date,price,index_name,year,month,day,month_key,quarter_key,week_key,return_factor,investment_signal,cash_inflow,cash_balance,contribution,invested_wealth,wealth,total_contribution,wealth_return
1990-12-19,99.98,Shanghai Composite,1990,12,19,199012,19904,199051,1.0,False,0.1111111111111111,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0
1990-12-20,104.39,Shanghai Composite,1990,12,20,199012,19904,199051,1.0441088217643528,False,0.1111111111111111,0.2222222222222222,0.0,0.0,0.2222222222222222,0.0,0.0
1990-12-21,109.13,Shanghai Composite,1990,12,21,199012,19904,199051,1.0454066481463742,False,0.1111111111111111,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0
1990-12-24,114.55,Shanghai Composite,1990,12,24,199012,19904,199052,1.0496655365160819,False,0.1111111111111111,0.4444444444444444,0.0,0.0,0.4444444444444444,0.0,0.0
1990-12-25,120.25,Shanghai Composite,1990,12,25,199012,19904,199052,1.0497599301615015,False,0.1111111111111111,0.5555555555555556,0.0,0.0,0.5555555555555556,0.0,0.0
1990-12-26,125.27,Shanghai Composite,1990,12,26,199012,19904,199052,1.0417463617463618,False,0.1111111111111111,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0
1990-12-27,125.28,Shanghai Composite,1990,12,27,199012,19904,199052,1.0000798275724436,False,0.1111111111111111,0.7777777777777777,0.0,0.0,0.7777777777777777,0.0,0.0
1990-12-28,126.45,Shanghai Composite,1990,12,28,199012,19904,199052,1.0093390804597702,False,0.1111111111111111,0.8888888888888888,0.0,0.0,0.8888888888888888,0.0,0.0
1990-12-31,127.61,Shanghai Composite,1990,12,31,199012,19904,199101,1.0091735863977858,True,0.1111111111111111,1.0,1.0,1.0,1.0,1.0,0.0
1991-01-02,128.84,Shanghai Composite,1991,1,2,199101,19911,199101,1.0096387430452158,False,0.047619047619047616,0.047619047619047616,0.0,1.0096387430452158,1.0572577906642635,1.0,0.00920061836134245
1991-01-03,130.14,Shanghai Composite,1991,1,3,199101,19911,199101,1.0100900341508847,False,0.047619047619047616,0.09523809523809523,0.0,1.0198260324425983,1.1150641276806934,1.0,0.018102029621502647
1991-01-04,131.44,Shanghai Composite,1991,1,4,199101,19911,199101,1.0099892423543877,False,0.047619047619047616,0.14285714285714285,0.0,1.0300133218399812,1.172870464697124,1.0,0.026261656609983586
1991-01-07,132.06,Shanghai Composite,1991,1,7,199101,19911,199102,1.0047169811320755,False,0.047619047619047616,0.19047619047619047,0.0,1.0348718752448867,1.2253480657210771,1.0,0.029292375205704824
1991-01-08,132.68,Shanghai Composite,1991,1,8,199101,19911,199102,1.0046948356807512,False,0.047619047619047616,0.23809523809523808,0.0,1.0397304286497924,1.2778256667450305,1.0,0.03208996160175537
1991-01-09,133.34,Shanghai Composite,1991,1,9,199101,19911,199102,1.0049743744347301,False,0.047619047619047616,0.2857142857142857,0.0,1.0449024371130788,1.3306167228273647,1.0,0.03492411775461712
1991-01-10,133.97,Shanghai Composite,1991,1,10,199101,19911,199102,1.004724763761812,False,0.047619047619047616,0.3333333333333333,0.0,1.0498393542825797,1.383172687615913,1.0,0.03737951571193476
1991-01-11,134.6,Shanghai Composite,1991,1,11,199101,19911,199102,1.004702545345973,False,0.047619047619047616,0.38095238095238093,0.0,1.0547762714520807,1.4357286524044617,1.0,0.03966557587909292
1991-01-14,134.67,Shanghai Composite,1991,1,14,199101,19911,199103,1.000520059435364,False,0.047619047619047616,0.42857142857142855,0.0,1.0553248178042474,1.483896246375676,1.0,0.038727372462973086
1991-01-15,134.74,Shanghai Composite,1991,1,15,199101,19911,199103,1.000519789114131,False,0.047619047619047616,0.47619047619047616,0.0,1.0558733641564144,1.5320638403468907,1.0,0.03784969829950646
1991-01-16,134.24,Shanghai Composite,1991,1,16,199101,19911,199103,0.9962891494730592,False,0.047619047619047616,0.5238095238095237,0.0,1.0519551759266519,1.5757646997361756,1.0,0.034095584201865314
1991-01-17,134.25,Shanghai Composite,1991,1,17,199101,19911,199103,1.0000744934445769,False,0.047619047619047616,0.5714285714285714,0.0,1.0520335396912472,1.6234621111198186,1.0,0.03311225253079364
1991-01-18,134.24,Shanghai Composite,1991,1,18,199101,19911,199103,0.9999255121042832,False,0.047619047619047616,0.6190476190476191,0.0,1.051955175926652,1.6710027949742712,1.0,0.03208996160175581
