date,price
2004-05-01,236.92999267578125
2004-06-01,240.86000061035156
2004-07-01,236.39999389648438
2004-08-01,233.6300048828125
2004-09-01,237.74000549316406
2004-10-01,240.3000030517578
2004-11-01,246.50999450683594
2004-12-01,251.02000427246094
2005-01-01,256.8500061035156
2005-02-01,264.2900085449219
2005-03-01,262.19000244140625
2005-04-01,256.05999755859375
2005-05-01,267.2900085449219
2005-06-01,275.9200134277344
2005-07-01,285.0299987792969
2005-08-01,284.82000732421875
2005-09-01,297.3999938964844
2005-10-01,290.2900085449219
2005-11-01,299.4700012207031
2005-12-01,310.0299987792969
2006-01-01,321.0400085449219
2006-02-01,327.8800048828125
2006-03-01,334.44000244140625
2006-04-01,336.4800109863281
2006-05-01,318.8599853515625
2006-06-01,320.6600036621094
2006-07-01,326.0400085449219
2006-08-01,334.7300109863281
2006-09-01,341.42999267578125
2006-10-01,353.3399963378906
2006-11-01,351.7799987792969
2006-12-01,365.260009765625
2007-01-01,372.7200012207031
2007-02-01,365.0299987792969
2007-03-01,374.2200012207031
2007-04-01,386.92999267578125
2007-05-01,396.739990234375
2007-06-01,393.7099914550781
2007-07-01,380.07000732421875
2007-08-01,375.94000244140625
2007-09-01,377.8599853515625
2007-10-01,388.42999267578125
2007-11-01,370.3599853515625
2007-12-01,364.6400146484375
2008-01-01,322.1600036621094
2008-02-01,318.95001220703125
2008-03-01,305.9599914550781
2008-04-01,323.0899963378906
2008-05-01,322.1199951171875
2008-06-01,289.3900146484375
2008-07-01,283.760009765625
2008-08-01,288.17999267578125
2008-09-01,256.04998779296875
2008-10-01,222.07000732421875
2008-11-01,206.25
2008-12-01,196.89999389648438
2009-01-01,191.22999572753906
2009-02-01,172.9199981689453
2009-03-01,176.4600067138672
2009-04-01,200.22999572753906
2009-05-01,208.2100067138672
2009-06-01,205.8300018310547
2009-07-01,224.91000366210938
2009-08-01,235.6199951171875
2009-09-01,242.47000122070312
2009-10-01,236.92999267578125
2009-11-01,239.1699981689453
2009-12-01,253.16000366210938
2010-01-01,246.9600067138672
2010-02-01,245.8000030517578
2010-03-01,263.57000732421875
2010-04-01,259.9100036621094
2010-05-01,244.97000122070312
2010-06-01,243.32000732421875
2010-07-01,255.35000610351562
2010-08-01,251.30999755859375
2010-09-01,259.7200012207031
2010-10-01,265.9599914550781
2010-11-01,261.8299865722656
2010-12-01,275.80999755859375
2011-01-01,280.04998779296875
2011-02-01,286.4700012207031
2011-03-01,275.8999938964844
2011-04-01,283.7799987792969
2011-05-01,279.04998779296875
2011-06-01,272.8599853515625
2011-07-01,265.25
2011-08-01,237.42999267578125
2011-09-01,226.17999267578125
2011-10-01,243.47999572753906
2011-11-01,240.0800018310547
2011-12-01,244.5399932861328
2012-01-01,254.41000366210938
2012-02-01,264.32000732421875
2012-03-01,263.32000732421875
2012-04-01,257.2799987792969
2012-05-01,239.72999572753906
2012-06-01,251.1699981689453
2012-07-01,261.3800048828125
2012-08-01,266.2300109863281
2012-09-01,268.4800109863281
2012-10-01,270.29998779296875
2012-11-01,275.7799987792969
2012-12-01,279.67999267578125
2013-01-01,287.2200012207031
2013-02-01,289.94000244140625
2013-03-01,293.7799987792969
2013-04-01,296.7200012207031
2013-05-01,300.8800048828125
2013-06-01,285.0199890136719
2013-07-01,299.5799865722656
2013-08-01,297.32000732421875
2013-09-01,310.4599914550781
2013-10-01,322.3699951171875
2013-11-01,325.1600036621094
2013-12-01,328.260009765625
