date,price,index_name,year,month,day,month_key,quarter_key,week_key,return_factor,investment_signal,cash_inflow,cash_balance,contribution,invested_wealth,wealth,total_contribution,wealth_return,all_time_high,all_time_high_flag,segment_reference_high,drawdown_from_reference_high,threshold_hit
1995-04-07,814.69,Nasdaq Composite,1995,4,7,199504,19952,199514,1.0010936347997053,False,0.05263157894736842,12.350114416475972,0.0,7353.509519094165,7365.85963351064,530.9130434782608,12.558548056258688,826.14,False,826.14,-0.013859636381242768,False
1995-04-10,821.26,Nasdaq Composite,1995,4,10,199504,19952,199515,1.008064417140262,False,0.05263157894736842,12.40274599542334,0.0,7412.811287301027,7425.21403329645,530.9130434782608,12.666479379311498,826.14,False,826.14,-0.005906989130171625,False
1995-04-11,824.83,Nasdaq Composite,1995,4,11,199504,19952,199515,1.0043469790322188,False,0.05263157894736842,12.45537757437071,0.0,7445.034622536719,7457.49000011109,530.9130434782608,12.72455540508628,826.14,False,826.14,-0.0015856876558452138,False
1995-04-12,828.53,Nasdaq Composite,1995,4,12,199504,19952,199515,1.0044857728259156,False,0.05263157894736842,12.508009153318078,0.0,7478.4313565344955,7490.939365687814,530.9130434782608,12.784779462282662,828.53,True,828.53,0.0,False
1995-04-13,832.64,Nasdaq Composite,1995,4,13,199504,19952,199515,1.0049605928572292,False,0.05263157894736842,12.560640732265446,0.0,7515.528809704999,7528.0894504372645,530.9130434782608,12.851801235551815,832.64,True,832.64,0.0,False
1995-04-17,830.82,Nasdaq Composite,1995,4,17,199504,19952,199516,0.997814181398924,False,0.05263157894736842,12.613272311212814,0.0,7499.101227035822,7511.714499347036,530.9130434782608,12.82033267043611,832.64,False,832.64,-0.0021858186010760283,False
1995-04-18,825.74,Nasdaq Composite,1995,4,18,199504,19952,199516,0.9938855588454779,False,0.05263157894736842,12.665903890160182,0.0,7453.248413871308,7465.914317761468,530.9130434782608,12.73473780378272,832.64,False,832.64,-0.008286894696387326,False
1995-04-19,816.55,Nasdaq Composite,1995,4,19,199504,19952,199516,0.9888705888051929,False,0.05263157894736842,12.71853546910755,0.0,7370.29814753629,7383.016683005398,530.9130434782608,12.580919447875164,832.64,False,832.64,-0.019324077632590364,False
1995-04-20,819.01,Nasdaq Composite,1995,4,20,199504,19952,199516,1.003012675280142,False,0.05263157894736842,12.77116704805492,0.0,7392.502462572649,7405.273629620704,530.9130434782608,12.620542009950958,832.64,False,832.64,-0.016369619523443513,False
1995-04-21,823.44,Nasdaq Composite,1995,4,21,199504,19952,199516,1.0054089693654535,False,0.05263157894736842,12.823798627002288,0.0,7432.488281926745,7445.312080553747,530.9130434782608,12.692859309894612,832.64,False,832.64,-0.011049192928516471,False
1995-04-24,828.91,Nasdaq Composite,1995,4,24,199504,19952,199517,1.006642864082386,False,0.05263157894736842,12.876430205949656,0.0,7481.8612913775105,7494.73772158346,530.9130434782608,12.78242515583486,832.64,False,832.64,-0.00447972713297462,False
1995-04-25,831.28,Nasdaq Composite,1995,4,25,199504,19952,199517,1.0028591765089092,False,0.05263157894736842,12.929061784897025,0.0,7503.253253424734,7516.182315209631,530.9130434782608,12.820522983546212,832.64,False,832.64,-0.0016333589546503324,False
1995-04-26,836.91,Nasdaq Composite,1995,4,26,199504,19952,199517,1.006772687902993,False,0.05263157894736842,12.981693363844393,0.0,7554.070445967296,7567.05213933114,530.9130434782608,12.912714403647346,836.91,True,836.91,0.0,False
