horizon_years,contribution_interval_days,window_stride_days,window_number,start_date,end_date,final_relative_advantage,mean_relative_advantage,median_relative_advantage,std_relative_advantage,percent_time_btd_better,annual_return_btd,annual_return_dca,annual_alpha
1,15,0,0,1950-01-03,1951-01-03,0.054102916514273014,0.09304278490152247,0.05627015242290212,0.15876024286253762,0.9584775086505191,0.1204463376944449,0.1072183712824406,0.0132279664120043
1,15,6867,1,1968-10-22,1969-10-22,0.05817907597174177,0.09324531022587584,0.011693109349861786,0.19584768841386538,0.9670781893004116,-0.030720900498033554,-0.04585634398460614,0.015135443486572586
1,15,13735,2,1987-08-12,1988-08-11,0.07056020320551215,0.09660882879466531,0.03403533804167935,0.13415400739189662,0.9606299212598425,0.009769848887827726,-0.017501418122381596,0.02727126701020932
1,15,20602,3,2006-05-31,2007-05-31,0.05198751821018388,0.08166975518525495,0.058946811758435524,0.11524552430530519,0.9603174603174603,0.14360331402831217,0.1323759902914412,0.011227323736870964
1,15,27470,4,2025-03-20,2026-03-20,0.059640613103461915,0.1274262225664603,0.06854320352990695,0.2079591072314922,0.9484126984126984,0.02463293236335784,0.007240994260933498,0.017391938102424342
1,30,0,0,1950-01-03,1951-01-03,0.1065938016958825,0.2040340500287524,0.15036420510861093,0.2312888198985313,0.9134948096885813,0.12743267071751063,0.10371811191136504,0.02371455880614559
1,30,6867,1,1968-10-22,1969-10-22,0.10730506246531224,0.1271804217555633,0.10730506246531224,0.13792188353707102,0.9300411522633745,-0.021624454374407187,-0.04281937439779504,0.021194920023387853
1,30,13735,2,1987-08-12,1988-08-11,0.12740411478242208,0.16784487606393939,0.1350088072326152,0.18259026277174656,0.9212598425196851,0.023071859596254685,-0.016947371849606152,0.04001923144586084
1,30,20602,3,2006-05-31,2007-05-31,0.10539459850546229,0.21821167108483205,0.14616066451636378,0.23282893891320616,0.9166666666666666,0.14493294645638444,0.1220670884988273,0.022865857957557134
1,30,27470,4,2025-03-20,2026-03-20,0.11505168922196196,0.238904893286771,0.153776352398592,0.2638945544429084,0.9166666666666666,0.036505452314008924,0.007001489812119122,0.029503962501889802
1,45,0,0,1950-01-03,1951-01-03,0.15844663665907555,0.2536089699343073,0.17921604164597182,0.2851355795159026,0.8719723183391004,0.1309075771648398,0.09823400956775119,0.032673567597088615
1,45,6867,1,1968-10-22,1969-10-22,0.15887805668063604,0.17647271814295945,0.033291058972733545,0.23030431088249476,0.897119341563786,-0.01264824506759643,-0.04153146600753799,0.028883220939941556
1,45,13735,2,1987-08-12,1988-08-11,0.18659702930806454,0.3068981363393412,0.2357873017423595,0.36720442754020605,0.8779527559055118,0.04142448981652258,-0.012672587133284452,0.05409707694980703
1,45,20602,3,2006-05-31,2007-05-31,0.14756414384398586,0.3480277311683861,0.26879014524913036,0.2904895244580634,0.876984126984127,0.14780347727726717,0.12521932247296697,0.022584154804300205
1,45,27470,4,2025-03-20,2026-03-20,0.16795681738998325,0.3455363238334717,0.24294205938810176,0.3409998114925808,0.876984126984127,0.04151836140434484,0.0031861332921312435,0.038332228112213595
1,60,0,0,1950-01-03,1951-01-03,0.20526259800275248,0.3571298631301461,0.294921522989279,0.357433629864916,0.8304498269896193,0.136462848541538,0.10004555773382595,0.036417290807712055
1,60,6867,1,1968-10-22,1969-10-22,0.20014409518549403,0.28203186633494487,0.017302358165954823,0.36950675957538875,0.8600823045267489,-0.007819800691017953,-0.03551486810611659,0.02769506741509864
1,60,13735,2,1987-08-12,1988-08-11,0.22034346506390046,0.47815990356687593,0.4001374476833135,0.4785731107050566,0.8149606299212598,0.029773328273528632,-0.015551574743748908,0.04532490301727754
1,60,20602,3,2006-05-31,2007-05-31,0.2000368801459167,0.41508684717496674,0.3663937341525354,0.3231300982370304,0.8333333333333334,0.14874516003442206,0.11677967697905678,0.031965483055365285
