horizon_years,contribution_interval_days,annual_alpha_mean,annual_alpha_median,final_relative_advantage_mean,final_relative_advantage_median
6,90,0.021298703279006004,0.01972531460652438,0.1688708460187017,0.16049597993439368
6,120,0.024751426283396015,0.021480439406977192,0.20681815927380973,0.17817191957242717
7,15,0.005615067257708439,0.005306524129214951,0.04301342459880462,0.04267689934255703
7,30,0.008781477929204274,0.007985551211257214,0.07077763735848905,0.06826220896229307
7,45,0.011615649043306319,0.010306752729462243,0.09694162839130885,0.09427946381191332
7,60,0.014214071365854819,0.012788608351979036,0.12219082132860275,0.11918750803250044
7,90,0.017295803022063284,0.01615469797201452,0.15823291992661176,0.14828002248872774
7,120,0.022438439611065376,0.020709380956295487,0.21083135937597305,0.2075928470500934
8,15,0.0046942419576120106,0.00434836945530237,0.041408797162047636,0.04063027502756822
8,30,0.007319672324198212,0.006348598099335412,0.06771938055697584,0.06271734337567736
8,45,0.009909670080279964,0.008412387623143447,0.09433844977474651,0.08593578496735654
8,60,0.01149545623830619,0.010270086255867117,0.11368257968301396,0.10304084317901507
8,90,0.014836998776854982,0.013401601416558107,0.15365248677643195,0.14424753817426117
8,120,0.018485385373772024,0.016582546620430683,0.19799194788858823,0.18340450356060822
9,15,0.004137321755335721,0.00370057150501113,0.040841383261875294,0.03849159918818135
9,30,0.006533173315092044,0.005707981738875878,0.06729984388941342,0.062172942615884796
9,45,0.008551782216318093,0.007303600005607036,0.0907564315278548,0.0822294231401608
9,60,0.010665366309992975,0.00909609731303962,0.11603637936155398,0.10491881150058968
9,90,0.013101836933420818,0.012470671351014984,0.15011633462799456,0.14904146954839925
9,120,0.016483924842526677,0.01425128825884947,0.19442466638199263,0.177651623256597
10,15,0.0038289412683011116,0.0034569308126322085,0.040575806495573866,0.0389219008901831
10,30,0.006105109382616281,0.005462862683828451,0.067226764768929,0.06400567789167888
10,45,0.007989364532029742,0.007193786640987021,0.09051201207019259,0.08662726469532678
10,60,0.009607631252220328,0.008720515015148367,0.11185585082862763,0.10773586796887846
10,90,0.012101352590643488,0.011478554903307181,0.1472974810405363,0.14743812717896665
10,120,0.014872555891746898,0.013935838472016071,0.18715115828093185,0.17457336332021556
12,15,0.003163513471243151,0.0028148473852223077,0.039496225952702926,0.03742364778715479
12,30,0.00513234758394634,0.004718220453227229,0.06625580050798048,0.0646558796226695
12,45,0.0065669840244776175,0.005871731420687087,0.08714769219906052,0.08292990565142166
12,60,0.008195010111908018,0.0073966381259567004,0.11089790165393691,0.10633995039980682
12,90,0.010177664071819281,0.009185715508952308,0.14363841939462282,0.13778672289055427
12,120,0.012847713668482719,0.011017449764807008,0.18634068973677564,0.17059017234259688
15,15,0.0027745669458639544,0.0024318145744219866,0.04272583656089131,0.03839460578725262
15,30,0.004438545536475491,0.004082559831408927,0.07040598008164603,0.06620920629642302
15,45,0.005685550684402463,0.004866163676277013,0.092369535402909,0.08120686751661133
15,60,0.0072371549188820165,0.006764711724294825,0.11961566727667958,0.11408867179487281
15,90,0.009127512661451486,0.007720850508885269,0.15622946630648124,0.13567497221384772
15,120,0.01126229430247232,0.010419056496742352,0.19833271949598355,0.18689044513989272
20,15,0.002122169450009137,0.0019056105076256102,0.04245577686634459,0.03732511928128246
20,30,0.003397175046439704,0.0031435209829027144,0.07111920540818426,0.0666670270242602
20,45,0.004244583833472282,0.0037603431441859403,0.09070882066543255,0.08158240661405358
20,60,0.005412076086631723,0.004666351037574179,0.11762484628996264,0.10283704552782358
20,90,0.006831927417213901,0.006356660338970643,0.15278466146329187,0.14384772329413154
20,120,0.008340000619786014,0.007535015036302051,0.19139404218380268,0.17397421985927664
