date,price,index_name,year,month,day,month_key,quarter_key,week_key,return_factor,investment_signal,cash_inflow,cash_balance,contribution,invested_wealth,wealth,total_contribution,wealth_return
1968-08-05,96.85,S&P 500,1968,8,5,196808,19683,196832,1.0022767256545586,False,0.05555555555555555,0.16666666666666666,0.0,508.72117065449675,508.88783732116343,223.0,1.2803039760470356
1968-08-06,97.25,S&P 500,1968,8,6,196808,19683,196832,1.0041300980898298,False,0.05555555555555555,0.2222222222222222,0.0,510.8222389896728,511.04446121189505,223.0,1.2893977854191414
1968-08-08,97.04,S&P 500,1968,8,8,196808,19683,196832,0.997840616966581,False,0.05555555555555555,0.2777777777777778,0.0,509.7191781137054,509.9969558914832,223.0,1.2841366524127142
1968-08-09,97.01,S&P 500,1968,8,9,196808,19683,196832,0.9996908491343776,False,0.05555555555555555,0.3333333333333333,0.0,509.56159798856714,509.89493132190046,223.0,1.283111632784629
1968-08-12,98.01,S&P 500,1968,8,12,196808,19683,196833,1.0103082156478713,False,0.05555555555555555,0.38888888888888884,0.0,514.8142688265073,515.2031577153962,223.0,1.3063061026802116
1968-08-13,98.53,S&P 500,1968,8,13,196808,19683,196833,1.0053055810631568,False,0.05555555555555555,0.4444444444444444,0.0,517.5456576622361,517.9901021066805,223.0,1.3182053301641594
1968-08-15,98.07,S&P 500,1968,8,15,196808,19683,196833,0.995331371155993,False,0.05555555555555555,0.5,0.0,515.1294290767836,515.6294290767836,223.0,1.3070667967641323
1968-08-16,98.68,S&P 500,1968,8,16,196808,19683,196833,1.0062200469052718,False,0.05555555555555555,0.5555555555555556,0.0,518.333558287927,518.8891138434825,223.0,1.321074564906234
1968-08-19,99.0,S&P 500,1968,8,19,196808,19683,196834,1.0032428050263478,False,0.05555555555555555,0.611111111111111,0.0,520.0144129560678,520.6255240671788,223.0,1.3282632132196817
1968-08-20,98.96,S&P 500,1968,8,20,196808,19683,196834,0.9995959595959595,False,0.05555555555555555,0.6666666666666666,0.0,519.8043061225501,520.4709727892167,223.0,1.326993917090388
1968-08-22,98.7,S&P 500,1968,8,22,196808,19683,196834,0.9973726758286177,False,0.05555555555555555,0.7222222222222222,0.0,518.4386117046857,519.1608339269079,223.0,1.3205599728543187
1968-08-23,98.69,S&P 500,1968,8,23,196808,19683,196834,0.9998986828774062,False,0.05555555555555555,0.7777777777777777,0.0,518.3860849963063,519.1638627740841,223.0,1.3199974006786284
1968-08-26,98.94,S&P 500,1968,8,26,196808,19683,196835,1.0025331847198298,False,0.05555555555555555,0.8333333333333333,0.0,519.6992527057913,520.5325860391247,223.0,1.325536497568688
1968-08-27,98.81,S&P 500,1968,8,27,196808,19683,196835,0.9986860723670912,False,0.05555555555555555,0.8888888888888888,0.0,519.0164054968591,519.905294385748,223.0,1.322157642417733
1968-08-29,98.74,S&P 500,1968,8,29,196808,19683,196835,0.9992915696791822,False,0.05555555555555555,0.9444444444444444,0.0,518.6487185382033,519.5931629826478,223.0,1.3201877781413196
1968-08-30,98.86,S&P 500,1968,8,30,196808,19683,196835,1.001215312943083,True,0.05555555555555555,1.0,1.0,520.2790390387562,520.2790390387562,224.0,1.3226742814230188
1968-09-03,99.32,S&P 500,1968,9,3,196809,19683,196836,1.0046530447096904,False,0.058823529411764705,0.058823529411764705,0.0,522.6999206689183,522.75874419833,224.0,1.3331317015940165
1968-09-04,100.02,S&P 500,1968,9,4,196809,19683,196836,1.0070479258960934,False,0.058823529411764705,0.11764705882352941,0.0,526.3838709756867,526.5015180345102,224.0,1.3492193718075258
1968-09-05,100.74,S&P 500,1968,9,5,196809,19683,196836,1.0071985602879423,False,0.058823529411764705,0.1764705882352941,0.0,530.1730770055057,530.3495475937409,224.0,1.365768120990185
1968-09-06,101.2,S&P 500,1968,9,6,196809,19683,196836,1.0045662100456623,False,0.058823529411764705,0.23529411764705882,0.0,532.5939586356678,532.8292527533149,224.0,1.376206006507438
