horizon_years,contribution_interval_days,window_count,annual_alpha_theoretical_mean,annual_alpha_theoretical_median,final_relative_advantage_theoretical_mean,final_relative_advantage_theoretical_median,theoretical_win_rate,annual_alpha_implementable_mean,annual_alpha_implementable_median,final_relative_advantage_implementable_mean,final_relative_advantage_implementable_median,implementable_win_rate,implementable_minus_theoretical_annual_alpha_mean,implementable_minus_theoretical_annual_alpha_median
1,15,5,0.01819228993922619,0.018208133371449997,0.06055534217399385,0.06182137624738426,1.0,-0.0010138515101350443,0.0012814245407450908,0.04176488254923587,0.04305646072022862,0.8,-0.019206141449361235,-0.01697790397624499
1,30,5,0.029136864235578663,0.029051204344426984,0.11439324217723482,0.11607283340301744,1.0,-0.0030597380001118777,8.174056497667337e-05,0.08184029826357078,0.0834231105256833,0.6,-0.03219660223569054,-0.027721760770501924
1,45,5,0.04023341131758231,0.03387436997390558,0.16906671497098097,0.16888979468693566,1.0,-0.0010299640426254752,0.007700566729671676,0.12652401166456131,0.13400530580919678,0.6,-0.041263375360207785,-0.033770299780810586
1,60,5,0.04922447946943485,0.046685835255186214,0.22296306089166115,0.22364766824343696,1.0,0.0024278459562131482,0.011620363568693448,0.172590058230562,0.18080222382927635,0.8,-0.0467966335132217,-0.03113140863208108
1,90,5,0.05582179047127463,0.057237737867365523,0.31742425091465,0.3241212822259474,1.0,-0.006020003181044964,0.005547783312634058,0.2461805293079932,0.2571320164533968,0.6,-0.061841793652319586,-0.03957231746271017
1,120,5,0.0711443422832538,0.05274993518591786,0.42366286126478536,0.4128089649678912,1.0,0.011860759106524444,0.01202722567078629,0.3489375613364939,0.3461678482460706,0.6,-0.05928358317672935,-0.040390210601713994
2,15,5,0.01020109061245511,0.009286343470876535,0.040585319960473584,0.039679473703201795,1.0,-0.0010973030203659472,-0.0002460454555361924,0.018903700954776115,0.020336339662326175,0.2,-0.011298393632821058,-0.01067557696875987
2,30,5,0.01671080150674791,0.015268059439716763,0.07466559990533353,0.0703390492903122,1.0,-0.0014367833622143111,-0.0013622640297550337,0.039057638652930035,0.03886344207359138,0.2,-0.01814758486896222,-0.015341561249649915
2,45,5,0.021409097231809993,0.0192447225451724,0.1058072866809486,0.103456323671131,1.0,-0.0021271731084240297,0.0006987979433308311,0.058742028788391035,0.06397362910058102,0.6,-0.023536270340234023,-0.019127355997725415
2,60,5,0.026474421339040856,0.023348326382590656,0.13827936084118506,0.13246583037953386,1.0,-0.0009378940773600464,-0.003025138646668535,0.0813400039028604,0.07657206329383581,0.4,-0.0274123154164009,-0.02473130379120181
2,90,5,0.03238113916288512,0.02560616825125539,0.1947460191593396,0.18495708772764163,1.0,-0.0025527383204938746,-0.0015205641515434465,0.12041785967015528,0.1214883770912949,0.4,-0.03493387748337899,-0.027126732402798837
2,120,5,0.040995868860636664,0.03508498293971196,0.25950078408705884,0.24989484329010203,1.0,0.0039026640313014173,0.002993491710117091,0.17505033659808383,0.17364006917912223,0.6,-0.037093204829335244,-0.041908245325700366
3,15,5,0.006906398422131255,0.006989578608282532,0.024773476533264737,0.020404053473081163,1.0,-0.0008244698917456939,-5.440641414622416e-05,0.003344944166292829,-4.031703143081433e-05,0.0,-0.007730868313876949,-0.007129436497031794
3,30,5,0.01042453155395735,0.009977787229135004,0.05750354509244384,0.05604656304030775,1.0,-0.0021558702226228688,-0.0020469632839035246,0.021941169209678212,0.021853897229162644,0.0,-0.012580401776580218,-0.010833920105570716
3,45,5,0.013574994464850509,0.012694610670226592,0.08098372279417623,0.07884812006685649,1.0,-0.0023219608031206152,-0.0015743530696221697,0.03568795314937891,0.03703957891439025,0.4,-0.015896955267971125,-0.014268963739848761
3,60,5,0.01658952492612773,0.01594246633709706,0.10439550565317188,0.1021708650851254,1.0,-0.0038446691030090906,-0.004830644151831542,0.04493656066589646,0.04123670309362537,0.2,-0.02043419402913682,-0.01708198048976106
3,90,5,0.020328758004305825,0.018895103954403303,0.1450120359575487,0.1364409893594376,1.0,-0.003508748318539445,-0.004017703598790057,0.0739094830586406,0.07107862350584315,0.4,-0.02383750632284527,-0.01977422285169239
3,120,5,0.023146322231547466,0.021363414721066176,0.18323713346778847,0.18341499318045273,1.0,-0.0023741547933424645,-0.0005107746423111958,0.10474863811670079,0.10950388632913044,0.4,-0.02552047702488993,-0.020880772454028973
4,15,5,0.005197036413862622,0.0050629241433013394,0.02976917631350755,0.02886535020364822,1.0,-0.0007154163349916143,-0.00040970972259635197,0.00773099069881158,0.00873739189674927,0.0,-0.005912452748854236,-0.005508240664622965
4,30,5,0.008417556035243124,0.008340176670158295,0.052814037857743835,0.050861301336229126,1.0,-0.0011318942193542015,-0.0013001010393158818,0.01675776165652234,0.015622638663172594,0.2,-0.009549450254597325,-0.008696813316835472
4,45,5,0.011046345633142796,0.010603080975793988,0.07374885563709585,0.07071572170415052,1.0,-0.0016183261784769698,-0.0006562102994158714,0.025436671086443097,0.028590061285255874,0.2,-0.012664671811619765,-0.010193412687101722
4,60,5,0.013096612877105862,0.012754226043912853,0.09280160485708086,0.09270648963532402,1.0,-0.0016712988175337173,-0.0010766125530565773,0.03553609174341963,0.03725509804656957,0.2,-0.01476791169463958,-0.013290539489162256
4,90,5,0.016973876482427874,0.015445225524765238,0.13045479695381154,0.12261910580182889,1.0,-0.0018255313069546197,-0.0016862489333846487,0.055717788676787804,0.05623496967852559,0.2,-0.018799407789382494,-0.016974125894215986
